"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","status"
"180",1368.1617,270,359,0,0.2138,0.0886,-0.3266,0.3615,3643.0817,2749.6613,-1015.8306,"converged normally"
"181",1940.8055,258,371,0,0.2707,0.0972,-0.5758,0.2753,4783.4722,3860.1881,-1559.0941,"converged normally"
"183",2430.5564,408,221,0,0.2272,0.1532,-0.287,0.064,4209.4582,3642.7373,-1600.3686,"converged normally"
"184",767.4245,228,401,0,0.1604,0.0819,-0.0956,0.5547,3476.6679,2465.4307,-831.7153,"converged normally"
"185",395.2006,376,253,0.238,0.0192,0.0741,0.939,0.9591,9994.3275,9251.9056,-4372.9528,"converged normally"
"186",457.0971,158,471,0,0.1216,0.0896,0.0182,0.7235,6817.0529,5473.7467,-2265.8733,"converged normally"
"187",395.1258,377,252,0.2502,0.0187,0.074,0.9448,0.9629,5801.9461,5064.2782,-2280.1391,"converged normally"
"188",1430.1227,266,363,0,0.1787,0.0847,-0.0989,0.479,5462.0243,4402.0713,-1838.0356,"converged normally"
"189",1020.9617,271,358,0,0.1593,0.0811,-0.1082,0.4646,5393.9258,4430.4232,-1857.2116,"converged normally"
"190",323.7894,297,332,0.1368,0.0265,0.0664,0.9076,0.9511,7125.7144,6178.8403,-2757.4202,"converged normally"
"192",1210.7551,306,323,0,0.1502,0.091,-0.0149,0.4464,5292.5279,4363.8392,-1858.9196,"converged normally"
